iso_code,Location,Date,Total cases,New cases,Total deaths,New deaths,Total tests
KHM,Cambodia,1/27/2020,1,1,,,
KHM,Cambodia,1/28/2020,1,0,,,
KHM,Cambodia,1/29/2020,1,0,,,
KHM,Cambodia,1/30/2020,1,0,,,
KHM,Cambodia,1/31/2020,1,0,,,
KHM,Cambodia,2/1/2020,1,0,,,
KHM,Cambodia,2/2/2020,1,0,,,
KHM,Cambodia,2/3/2020,1,0,,,
KHM,Cambodia,2/4/2020,1,0,,,
KHM,Cambodia,2/5/2020,1,0,,,
KHM,Cambodia,2/6/2020,1,0,,,
KHM,Cambodia,2/7/2020,1,0,,,
KHM,Cambodia,2/8/2020,1,0,,,
KHM,Cambodia,2/9/2020,1,0,,,
KHM,Cambodia,2/10/2020,1,0,,,
KHM,Cambodia,2/11/2020,1,0,,,
KHM,Cambodia,2/12/2020,1,0,,,
KHM,Cambodia,2/13/2020,1,0,,,
KHM,Cambodia,2/14/2020,1,0,,,
KHM,Cambodia,2/15/2020,1,0,,,
KHM,Cambodia,2/16/2020,1,0,,,
KHM,Cambodia,2/17/2020,1,0,,,
KHM,Cambodia,2/18/2020,1,0,,,
KHM,Cambodia,2/19/2020,1,0,,,
KHM,Cambodia,2/20/2020,1,0,,,
KHM,Cambodia,2/21/2020,1,0,,,
KHM,Cambodia,2/22/2020,1,0,,,
KHM,Cambodia,2/23/2020,1,0,,,
KHM,Cambodia,2/24/2020,1,0,,,
KHM,Cambodia,2/25/2020,1,0,,,
KHM,Cambodia,2/26/2020,1,0,,,
KHM,Cambodia,2/27/2020,1,0,,,
KHM,Cambodia,2/28/2020,1,0,,,
KHM,Cambodia,2/29/2020,1,0,,,
KHM,Cambodia,3/1/2020,1,0,,,
KHM,Cambodia,3/2/2020,1,0,,,
KHM,Cambodia,3/3/2020,1,0,,,
KHM,Cambodia,3/4/2020,1,0,,,
KHM,Cambodia,3/5/2020,1,0,,,
KHM,Cambodia,3/6/2020,1,0,,,
KHM,Cambodia,3/7/2020,1,0,,,
KHM,Cambodia,3/8/2020,2,1,,,
KHM,Cambodia,3/9/2020,2,0,,,
KHM,Cambodia,3/10/2020,2,0,,,
KHM,Cambodia,3/11/2020,3,1,,,
KHM,Cambodia,3/12/2020,3,0,,,
KHM,Cambodia,3/13/2020,5,2,,,
KHM,Cambodia,3/14/2020,7,2,,,
KHM,Cambodia,3/15/2020,7,0,,,
KHM,Cambodia,3/16/2020,7,0,,,
KHM,Cambodia,3/17/2020,33,26,,,
KHM,Cambodia,3/18/2020,35,2,,,
KHM,Cambodia,3/19/2020,37,2,,,
KHM,Cambodia,3/20/2020,51,14,,,
KHM,Cambodia,3/21/2020,53,2,,,
KHM,Cambodia,3/22/2020,84,31,,,
KHM,Cambodia,3/23/2020,87,3,,,
KHM,Cambodia,3/24/2020,91,4,,,
KHM,Cambodia,3/25/2020,96,5,,,
KHM,Cambodia,3/26/2020,96,0,,,
KHM,Cambodia,3/27/2020,99,3,,,
KHM,Cambodia,3/28/2020,99,0,,,
KHM,Cambodia,3/29/2020,103,4,,,
KHM,Cambodia,3/30/2020,107,4,,,
